Region number,region,value
7.0,TL anterior temporal lobe lateral part R,1.6009509470171463e-05
2.0,TL hippocampus L,1.1217532302790609e-05
49.0,Third ventricle,5.908779617919737e-06
20.0,insula posterior long gyrus L,4.318847275791225e-06
86.0,insula anterior short gyrus L,3.5393149463144685e-06
51.0,FL precentral gyrus R,3.2891874448287853e-06
28.0,FL middle frontal gyrus L,3.205616113739449e-06
59.0,FL superior frontal gyrus R,2.960029200285812e-06
95.0,insula anterior long gyrus R,2.7801315413551845e-06
89.0,insula middle short gyrus R,2.5299127827531246e-06
